order_id,created_at,email,customer_name,lineitem_name,lineitem_quantity,lineitem_price,lineitem_discount,lineitem_cost,shipping_price,total_price,financial_status
#ORD-1000,2025-03-07 00:00:00,juan.rodríguez@gmail.com,Juan Rodríguez,Botella Térmica 750ml,1,24.99,0.0,9.0,0.0,24.99,paid
#ORD-1000,2025-03-07 00:00:00,juan.rodríguez@gmail.com,Juan Rodríguez,Camiseta Dry-Fit Pro,2,29.99,0.0,5.0,0.0,59.98,paid
#ORD-1000,2025-03-07 00:00:00,juan.rodríguez@gmail.com,Juan Rodríguez,Pack Calcetines x5,1,14.99,2.25,2.5,0.0,12.74,paid
#ORD-1001,2025-01-29 00:00:00,cliente70@email.com,Cliente70,Pack Calcetines x5,2,14.99,2.25,2.5,3.99,29.47,paid
#ORD-1001,2025-01-29 00:00:00,cliente70@email.com,Cliente70,Mochila Trail 30L,2,59.99,0.0,12.0,3.99,123.97,paid
#ORD-1002,2025-03-27 00:00:00,cliente44@email.com,Cliente44,Camiseta Dry-Fit Pro,2,29.99,0.0,5.0,3.99,63.97,paid
#ORD-1003,2025-04-07 00:00:00,cliente78@email.com,Cliente78,Zapatillas Running X1,2,49.99,7.5,8.5,0.0,84.98,refunded
#ORD-1003,2025-04-07 00:00:00,cliente78@email.com,Cliente78,Camiseta Dry-Fit Pro,2,29.99,4.5,5.0,3.99,54.97,paid
#ORD-1004,2025-04-11 00:00:00,pedro.jiménez@gmail.com,Pedro Jiménez,Pack Calcetines x5,2,14.99,0.0,2.5,0.0,29.98,paid
#ORD-1004,2025-04-11 00:00:00,pedro.jiménez@gmail.com,Pedro Jiménez,Pantalón Corto Sport,2,34.99,3.5,6.5,3.99,66.97,paid
#ORD-1004,2025-04-11 00:00:00,pedro.jiménez@gmail.com,Pedro Jiménez,Gorra Trail Running,2,19.99,0.0,4.0,3.99,43.97,paid
#ORD-1005,2025-03-30 00:00:00,cliente78@email.com,Cliente78,Mochila Trail 30L,1,59.99,0.0,12.0,4.99,64.98,refunded
#ORD-1005,2025-03-30 00:00:00,cliente78@email.com,Cliente78,Botella Térmica 750ml,1,24.99,0.0,9.0,0.0,24.99,paid
#ORD-1005,2025-03-30 00:00:00,cliente78@email.com,Cliente78,Zapatillas Running X1,2,49.99,5.0,8.5,3.99,93.97,paid
#ORD-1006,2025-03-30 00:00:00,cliente28@email.com,Cliente28,Gorra Trail Running,1,19.99,2.0,4.0,4.99,22.979999999999997,refunded
#ORD-1006,2025-03-30 00:00:00,cliente28@email.com,Cliente28,Mochila Trail 30L,2,59.99,0.0,12.0,0.0,119.98,paid
#ORD-1006,2025-03-30 00:00:00,cliente28@email.com,Cliente28,Pantalón Corto Sport,2,34.99,0.0,6.5,0.0,69.98,paid
#ORD-1007,2025-04-12 00:00:00,cliente66@email.com,Cliente66,Camiseta Dry-Fit Pro,1,29.99,0.0,5.0,0.0,29.99,paid
#ORD-1007,2025-04-12 00:00:00,cliente66@email.com,Cliente66,Pantalón Corto Sport,1,34.99,3.5,6.5,4.99,36.48,refunded
#ORD-1008,2025-02-07 00:00:00,cliente71@email.com,Cliente71,Camiseta Dry-Fit Pro,2,29.99,0.0,5.0,0.0,59.98,paid
#ORD-1009,2025-01-17 00:00:00,cliente59@email.com,Cliente59,Botella Térmica 750ml,1,24.99,3.75,9.0,0.0,21.24,paid
#ORD-1010,2025-02-05 00:00:00,cliente65@email.com,Cliente65,Pack Calcetines x5,1,14.99,0.0,2.5,0.0,14.99,paid
#ORD-1010,2025-02-05 00:00:00,cliente65@email.com,Cliente65,Gorra Trail Running,2,19.99,0.0,4.0,0.0,39.98,paid
#ORD-1010,2025-02-05 00:00:00,cliente65@email.com,Cliente65,Botella Térmica 750ml,1,24.99,0.0,9.0,0.0,24.99,paid
#ORD-1011,2025-03-08 00:00:00,elena.navarro@gmail.com,Elena Navarro,Guantes Running,1,16.99,2.55,3.0,0.0,14.44,paid
#ORD-1011,2025-03-08 00:00:00,elena.navarro@gmail.com,Elena Navarro,Guantes Running,1,16.99,0.0,3.0,4.99,21.979999999999997,paid
#ORD-1011,2025-03-08 00:00:00,elena.navarro@gmail.com,Elena Navarro,Pack Calcetines x5,2,14.99,1.5,2.5,3.99,30.97,refunded
#ORD-1012,2025-01-16 00:00:00,cliente58@email.com,Cliente58,Pack Calcetines x5,1,14.99,0.0,2.5,3.99,18.98,paid
#ORD-1013,2025-04-12 00:00:00,cliente76@email.com,Cliente76,Pack Calcetines x5,1,14.99,0.0,2.5,0.0,14.99,paid
#ORD-1013,2025-04-12 00:00:00,cliente76@email.com,Cliente76,Pack Calcetines x5,1,14.99,0.0,2.5,3.99,18.98,paid
#ORD-1013,2025-04-12 00:00:00,cliente76@email.com,Cliente76,Pack Calcetines x5,2,14.99,1.5,2.5,0.0,26.98,paid
#ORD-1014,2025-02-13 00:00:00,cliente74@email.com,Cliente74,Guantes Running,1,16.99,1.7,3.0,4.99,20.28,paid
#ORD-1014,2025-02-13 00:00:00,cliente74@email.com,Cliente74,Camiseta Dry-Fit Pro,1,29.99,3.0,5.0,3.99,30.979999999999997,refunded
#ORD-1014,2025-02-13 00:00:00,cliente74@email.com,Cliente74,Pantalón Corto Sport,2,34.99,0.0,6.5,0.0,69.98,paid
#ORD-1015,2025-02-21 00:00:00,cliente44@email.com,Cliente44,Pack Calcetines x5,1,14.99,0.0,2.5,4.99,19.98,paid
#ORD-1016,2025-01-16 00:00:00,cliente36@email.com,Cliente36,Pack Calcetines x5,1,14.99,1.5,2.5,0.0,13.49,paid
#ORD-1016,2025-01-16 00:00:00,cliente36@email.com,Cliente36,Zapatillas Running X1,1,49.99,0.0,8.5,0.0,49.99,refunded
#ORD-1017,2025-03-19 00:00:00,cliente63@email.com,Cliente63,Pack Calcetines x5,2,14.99,0.0,2.5,0.0,29.98,refunded
#ORD-1017,2025-03-19 00:00:00,cliente63@email.com,Cliente63,Zapatillas Running X1,2,49.99,0.0,8.5,4.99,104.97,paid
#ORD-1018,2025-03-15 00:00:00,cliente55@email.com,Cliente55,Guantes Running,1,16.99,0.0,3.0,3.99,20.979999999999997,paid
#ORD-1018,2025-03-15 00:00:00,cliente55@email.com,Cliente55,Zapatillas Running X1,1,49.99,0.0,8.5,0.0,49.99,paid
#ORD-1018,2025-03-15 00:00:00,cliente55@email.com,Cliente55,Guantes Running,1,16.99,0.0,3.0,0.0,16.99,paid
#ORD-1019,2025-02-04 00:00:00,sofía.ruiz@gmail.com,Sofía Ruiz,Camiseta Dry-Fit Pro,1,29.99,3.0,5.0,0.0,26.99,paid
#ORD-1019,2025-02-04 00:00:00,sofía.ruiz@gmail.com,Sofía Ruiz,Zapatillas Running X1,1,49.99,5.0,8.5,3.99,48.980000000000004,paid
#ORD-1019,2025-02-04 00:00:00,sofía.ruiz@gmail.com,Sofía Ruiz,Pack Calcetines x5,2,14.99,0.0,2.5,3.99,33.97,refunded
#ORD-1020,2025-02-16 00:00:00,cristina.molina@gmail.com,Cristina Molina,Botella Térmica 750ml,2,24.99,0.0,9.0,0.0,49.98,paid
